model,variant,sparsity,size_mb,compression_ratio,tcm,pcm,glue_average,sst2,mrpc,rte,latency_ms,throughput,memory_mb
bert-base-uncased,original,0.0,417.7638931274414,1.0,595.3607830822168,17.447782497502462,0.793499446290144,0.9,0.8504983388704319,0.63,7.5763654708862305,1055.9152710810577,3246.07421875
bert-base-uncased,pruned_0.1,0.1,417.7638931274414,1.116845066596068,561.74030057713,17.343121445257733,0.7887214611872145,0.865,0.8561643835616438,0.645,7.5858306884765625,1054.5977531706042,3246.07421875
bert-base-uncased,pruned_0.3,0.3,417.7638931274414,1.4555819763464917,603.0251607645178,17.18830708970931,0.7772043010752688,0.865,0.8516129032258064,0.615,7.5490522384643555,1059.7356790350384,3246.07421875
bert-base-uncased,pruned_0.5,0.5,417.7638931274414,2.078276578740287,656.9835771599561,18.686889842461056,0.6608604091456077,0.775,0.7075812274368231,0.5,7.482762336730957,1069.123893021439,3246.07421875
bert-base-uncased,pruned_0.7,0.7,417.7638931274414,3.5690189764242812,739.1008232583146,19.6506220940938,0.6628944246737841,0.74,0.7686832740213523,0.48,7.410516738891602,1079.546849683868,3246.07421875
bert-base-uncased,pruned_0.9,0.9,417.7638931274414,11.318028671282924,876.5945708057903,21.52536948397786,0.6472522522522522,0.685,0.7567567567567568,0.5,7.379007339477539,1084.156666602046,3246.07421875
roberta-base,original,0.0,475.68295669555664,1.0,231.27830257026002,15.311527362854468,0.8044902634593356,0.925,0.8934707903780069,0.595,8.48778247833252,942.5312230164095,3751.29052734375
roberta-base,pruned_0.1,0.1,475.68295669555664,1.1295037284172937,280.2733815399582,16.188197382753373,0.8054416961130743,0.91,0.8763250883392226,0.63,8.506340980529785,940.4748784831513,3751.29052734375
roberta-base,pruned_0.3,0.3,475.68295669555664,1.5154692981232294,647.894670251173,18.495304497280976,0.6904022988505747,0.785,0.7862068965517242,0.5,8.45959186553955,945.6720994529636,3751.29052734375
roberta-base,pruned_0.5,0.5,475.68295669555664,2.2647640912681304,699.8911357784943,20.52663295043517,0.617189349112426,0.535,0.8165680473372781,0.5,8.415484428405762,950.6285785517791,3751.29052734375
roberta-base,pruned_0.7,0.7,475.68295669555664,4.190069673186991,720.9471939482894,19.9058361627505,0.6805226824457593,0.725,0.8165680473372781,0.5,8.365669250488281,956.2893010063792,3751.29052734375
roberta-base,pruned_0.9,0.9,475.68295669555664,14.337186172137388,745.8612467670764,20.33000482435121,0.6476383981154299,0.715,0.7279151943462897,0.5,8.218708038330078,973.3890001554895,3751.29052734375
distilbert-base-uncased,original,0.0,255.5295181274414,1.0,641.4633351851148,17.63032759665842,0.7388283828382839,0.835,0.8514851485148515,0.53,4.403820037841797,1816.6046594221416,2020.9267578125
distilbert-base-uncased,pruned_0.1,0.1,255.5295181274414,1.122414385141707,638.7961575508034,17.742484953446557,0.7266216216216216,0.82,0.8648648648648649,0.495,4.416532516479492,1811.375772769576,2020.9267578125
distilbert-base-uncased,pruned_0.3,0.3,255.5295181274414,1.480847183350798,655.6340352380287,16.865232343207992,0.6970689655172414,0.785,0.7862068965517242,0.52,4.408106803894043,1814.8380599428633,2020.9267578125
distilbert-base-uncased,pruned_0.5,0.5,255.5295181274414,2.1437316451330846,690.2842422178563,18.461245330703253,0.6717482517482517,0.77,0.7552447552447552,0.49,4.40122127532959,1817.6772989903607,2020.9267578125
distilbert-base-uncased,pruned_0.7,0.7,255.5295181274414,3.7303853507419946,735.2470831914629,19.018468547732017,0.6572727272727272,0.715,0.7418181818181818,0.515,4.3859100341796875,1824.0228225511855,2020.9267578125
distilbert-base-uncased,pruned_0.9,0.9,255.5295181274414,11.809286078463037,754.2480493783061,19.870983690522706,0.6223270440251573,0.67,0.7169811320754716,0.48,4.303426742553711,1858.983660833202,2020.9267578125
