type,sparsity,size_mb,pruning_type,model_name,variant_key,mean_tcm,std_tcm,mean_pcm,std_pcm,mean_crease_density,sst2,mrpc,rte,average,avg_latency_ms,throughput_samples_per_sec,memory_footprint_mb,compression_ratio,total_parameters,nonzero_parameters
original,0.0,417.7638931274414,none,bert-base-uncased,original,807.3300148505028,247.49572102490814,18.744674171615376,2.314888021952109,0.054921612708313125,0.885,0.7796610169491526,0.61,0.7582203389830507,12.874040603637695,621.40552809345,6335.9677734375,1.0,109514298,109514298
pruned,0.1,417.7638931274414,magnitude,bert-base-uncased,magnitude_0.1,809.8786459491298,269.14381861808704,18.728194814275888,2.6386895613513004,0.05417742778102647,0.87,0.7793103448275862,0.59,0.7464367816091954,13.21631908416748,605.3122619885606,6333.8662109375,1.116845066596068,109514298,98056840
pruned,0.3,417.7638931274414,magnitude,bert-base-uncased,magnitude_0.3,831.901547606514,245.07459848118276,19.002748104950328,1.841931624287325,0.04799981929040871,0.865,0.7986798679867987,0.585,0.7495599559955995,12.92837142944336,618.7941028504661,6336.8095703125,1.4555819763464917,109514298,75237465
pruned,0.5,417.7638931274414,magnitude,bert-base-uncased,magnitude_0.5,925.8133098458015,274.7317849917316,19.056686319065967,2.845999316037823,0.04116121731830338,0.71,0.7949526813880127,0.525,0.6766508937960042,13.50536823272705,592.3570436690427,6337.1728515625,2.078276578740287,109514298,52694766
pruned,0.7,417.7638931274414,magnitude,bert-base-uncased,magnitude_0.7,1042.439650106255,305.0547684747777,19.99941315132165,2.5736366343946036,0.04603002020562076,0.63,0.714828897338403,0.5,0.6149429657794677,12.602410316467285,634.7992010343117,6337.3427734375,3.5690189764242812,109514298,30684706
pruned,0.9,417.7638931274414,magnitude,bert-base-uncased,magnitude_0.9,1043.0902783810056,268.9709257628062,21.529877264906723,2.2129474094396224,0.04824335539971479,0.535,0.7508771929824561,0.5,0.5952923976608188,12.844624519348145,622.8286383887222,6336.8076171875,11.318028671282924,109514298,9676093
pruned,0.1,417.7638931274414,structured,bert-base-uncased,structured_0.1,1001.1400550341027,240.26627000762906,21.296426766109132,1.7577423934131582,0.047972469044500726,0.58,0.8165680473372781,0.5,0.632189349112426,13.112902641296387,610.0861280557097,6335.1728515625,1.110637956600475,109514298,98604858
pruned,0.3,417.7638931274414,structured,bert-base-uncased,structured_0.3,815.0034190762176,202.18449198149227,20.097144338252818,2.1433646455092985,0.046486388963147635,0.535,0.8165680473372781,0.555,0.6355226824457594,13.656878471374512,585.7853986742573,6338.9228515625,1.4250305756020554,109514298,76850490
pruned,0.5,417.7638931274414,structured,bert-base-uncased,structured_0.5,986.018121459204,254.21352181118627,21.353681935512554,3.107374377278798,0.05336605538641631,0.535,0.8165680473372781,0.5,0.617189349112426,13.673868179321289,585.0575634551045,6335.8427734375,1.990025332713326,109514298,55031610
pruned,0.7,417.7638931274414,structured,bert-base-uncased,structured_0.7,868.2867907967812,225.06176423938348,19.40064840759825,1.5647444462615372,0.04270312637048662,0.535,0.703125,0.5,0.5793750000000001,13.420934677124023,596.0836702108382,6335.1728515625,3.2973591150140322,109514298,33212730
