model_method,hyperparameter,compression_ratio,word_accuracy,character_accuracy,semantic_similarity,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,bert_score_f1,bits_per_character
bert-base-uncased_predictive_masking,0.1,1.088389225091045,0.7243207600164119,0.22846852006837007,0.9761956745386123,0.965322663838385,0.9330927246914307,0.965322663838385,0.9127133864164353,7.634144598024222
bert-base-uncased_predictive_masking,0.2,1.2186352572424513,0.681826323429964,0.1991513405834111,0.9386296892166137,0.9147829985936495,0.8367345824619273,0.9141416128258594,0.9057292920351029,6.817557146863123
bert-base-uncased_predictive_masking,0.3,1.375158729175715,0.639929700953909,0.1730286280196686,0.9227018666267395,0.8675465301758429,0.757930302329878,0.8651902447152735,0.8987970274686813,6.042686398752899
bert-base-uncased_predictive_masking,0.4,1.5881751040009626,0.5791603223209605,0.15873722643477986,0.8563206881284714,0.7947871328326379,0.6230839252058341,0.7858866356711889,0.885514195561409,5.23034172396107
bert-base-uncased_predictive_masking,0.5,1.8791392175938817,0.5327403695758132,0.12964241743912303,0.8129819163680077,0.7203437457400029,0.5167136996249249,0.7039596503013918,0.8761785781383514,4.424019425541934
bert-base-uncased_predictive_masking,0.6,2.2866862781790083,0.45825714958306796,0.11734267362007018,0.7278136414289474,0.6228964553356615,0.36972701231736105,0.5940048279534288,0.8623868417739868,3.638220942200295
bert-base-uncased_predictive_masking,0.7,2.9159889400591323,0.39741334803683626,0.10885979748990467,0.6461298604309559,0.529836194761601,0.2717379440290188,0.48381402421816,0.8505933177471161,2.856583720476037
bert-base-uncased_predictive_masking,0.8,4.074059257427333,0.30512019682590724,0.09041234277737945,0.513122313208878,0.42735417368509465,0.1580137613986371,0.3718626245862427,0.8307223629951477,2.0510055192982417
bert-base-uncased_predictive_masking,0.9,6.712053988147028,0.2078549275765633,0.07345539724582874,0.3737453878298402,0.3118199687222989,0.08128365855831353,0.26436339423661986,0.8113790142536164,1.2626255212047135
bert-base-uncased_lsq,16.0,0.0026130143258636333,0.26912176534262694,0.05805327077697349,0.26407095789909363,0.4426347520566061,0.1506442230315738,0.437711448877021,0.7799655055999756,3180.7536010043254
bert-base-uncased_lsq,8.0,0.005225493425996236,0.268715763815899,0.05721357222292317,0.26390871550887823,0.4425425973501035,0.15014957198040693,0.4373497498716042,0.7799393922090531,1590.536980815702
bert-base-uncased_lsq,4.0,0.010448846793872242,0.26467900231816444,0.05613887190985929,0.25918709877878426,0.43752034891218144,0.14997438252911896,0.43125232557736026,0.7787245684862136,795.428670721391
bert-base-uncased_vq,128.0,4.587429904118202,0.21729802039804105,0.050320900080659856,0.22870954647660255,0.38471938640212533,0.11710114298426509,0.3754706252021929,0.7751679068803787,1.8117702378451106
bert-base-uncased_vq,256.0,4.0140011661034265,0.254003487755184,0.06702137386271376,0.38646666491404175,0.40185709806656883,0.140926067579124,0.3910674052453493,0.7955432265996933,2.070594557537269
roberta-base_predictive_masking,0.1,1.1777868195410053,0.8925156287626382,0.290719919209499,0.8791066536307335,0.9108579591317826,0.8134580032310881,0.9108579591317826,0.9660468798875809,6.91712412141241
roberta-base_predictive_masking,0.2,1.3066779621126665,0.8524865621649509,0.20306035298868794,0.850700666308403,0.8664980686683229,0.7342039062479836,0.8648461485459386,0.957887372970581,6.241707357285784
roberta-base_predictive_masking,0.3,1.4616730726440705,0.7976033777066946,0.16831283349287937,0.8040954703092575,0.8030021394002941,0.6377586592054216,0.7995944239018007,0.9472311156988144,5.588840652089592
roberta-base_predictive_masking,0.4,1.66688606312214,0.7512551016928374,0.14577523738289577,0.765032821893692,0.7521979652901934,0.5619080939201431,0.744560209681856,0.9364560985565186,4.91605085344798
roberta-base_predictive_masking,0.5,1.9427807382606388,0.6779615859009526,0.15937431494668555,0.7268993499875068,0.6765350193005878,0.4552528102404097,0.6616911218563878,0.9209717249870301,4.231965719159854
roberta-base_predictive_masking,0.6,2.302067842911826,0.5858387068110943,0.1049338528708593,0.6468122358620166,0.5782034332363899,0.3274429473563064,0.5532169375402534,0.9014210373163223,3.5853386375729097
roberta-base_predictive_masking,0.7,2.8497888856923446,0.5091462529434463,0.09800978527735761,0.5333459214121103,0.48960771052221397,0.22009991258838357,0.4494953873695519,0.8803549695014954,2.93005921532205
roberta-base_predictive_masking,0.8,3.749379332714603,0.4127805319947143,0.08678077860793959,0.40175155717879535,0.3879022434701939,0.12835724804079965,0.3392446633550237,0.8590495491027832,2.2596821337351063
roberta-base_predictive_masking,0.9,5.516656768496742,0.3141195863244072,0.0730968781814063,0.26477066887542605,0.27834366889982914,0.06288255437617284,0.23426148938830074,0.8377501994371415,1.6017757459992321
roberta-base_lsq,16.0,0.002850427521393242,0.39550112897962914,0.04840633107940315,0.1490879146102816,0.3788656935560897,0.08833048708084776,0.3760548150406537,0.797963485121727,2853.4352021790937
roberta-base_lsq,8.0,0.005700232952040014,0.39473336913038587,0.0474325232628377,0.14850612761452794,0.3775229897503394,0.08832552639244938,0.3748190156153423,0.7980792826414108,1426.8777814030868
roberta-base_lsq,4.0,0.01139797855830254,0.30709457627461223,0.042935233821678465,0.10278195885010064,0.2998943772379879,0.05471016085614159,0.2868922621866245,0.7869332122802735,713.5990710150832
roberta-base_vq,128.0,5.004268078690372,0.3655420843673424,0.04331730147677547,0.1235406322684139,0.34243671837793227,0.0749843002839912,0.34040855710448686,0.7969127506017685,1.6253095614309978
roberta-base_vq,256.0,4.378734568854076,0.42029891318922297,0.06192001165461097,0.22081500366330148,0.376641225173958,0.10958000777248537,0.3722669744332643,0.8326685923337936,1.857496641635426
distilbert-base-uncased_predictive_masking,0.1,1.088389225091045,0.721643522621666,0.22308530257728573,0.9727301955223083,0.9595942060050685,0.9201506578160759,0.9595942060050685,0.9122495591640473,7.634144598024222
distilbert-base-uncased_predictive_masking,0.2,1.2186352572424513,0.678148458300376,0.21135736490094306,0.950167887210846,0.9107594128139523,0.8294723868964862,0.910282952235393,0.9048083841800689,6.817557146863123
distilbert-base-uncased_predictive_masking,0.3,1.375158729175715,0.6387322437425734,0.1892706441287762,0.9042903196811676,0.8527915101637721,0.7217672044265775,0.8467592041228529,0.8963667207956314,6.042686398752899
distilbert-base-uncased_predictive_masking,0.4,1.5881751040009626,0.5744990785694012,0.1495474153213582,0.8481398122012616,0.7771313758376316,0.6038067664271325,0.7679090710825786,0.8852703648805619,5.23034172396107
distilbert-base-uncased_predictive_masking,0.5,1.8791392175938817,0.5078405721976055,0.12626353554709002,0.7704267498850822,0.7001458197288022,0.46609447110912006,0.6777281877919435,0.8715463495254516,4.424019425541934
distilbert-base-uncased_predictive_masking,0.6,2.2866862781790083,0.4558905026192664,0.11629991508397096,0.7252672216296197,0.6209550769384273,0.3688384139317926,0.5906169725678516,0.858864768743515,3.638220942200295
distilbert-base-uncased_predictive_masking,0.7,2.9159889400591323,0.38419373647184846,0.10303746762129345,0.6395089545845986,0.5332490662554679,0.26313672798915655,0.4915189845119344,0.8454015517234802,2.856583720476037
distilbert-base-uncased_predictive_masking,0.8,4.074059257427333,0.29065919973200877,0.08237766288913932,0.5103380806185305,0.4298475221375058,0.1550404781151085,0.3748733584230991,0.8251089113950729,2.0510055192982417
distilbert-base-uncased_predictive_masking,0.9,6.712053988147028,0.21679936318884693,0.06626582582540103,0.38759613629430534,0.32970979223155744,0.0924348636407087,0.2777980257339189,0.808212720155716,1.2626255212047135
distilbert-base-uncased_lsq,16.0,0.0026130143258636333,0.28488710424277475,0.05662937226144045,0.2811810559872538,0.4587284113712602,0.16502044671367413,0.4559175623756784,0.7856495302915573,3180.7536010043254
distilbert-base-uncased_lsq,8.0,0.005225493425996236,0.28573407689478675,0.05681805746957066,0.28219201911240815,0.45978442318673773,0.166699958779073,0.4567143628142975,0.785647194981575,1590.536980815702
distilbert-base-uncased_lsq,4.0,0.010448846793872242,0.2788427525268297,0.060243607054483526,0.2683741319272667,0.4419784630142092,0.1562197384695333,0.4384352259297848,0.7825460135936737,795.428670721391
distilbert-base-uncased_vq,128.0,4.587429904118202,0.2088501207731941,0.05679592435729791,0.24122929319739342,0.36538814038264056,0.11404657063334243,0.35778539015472,0.7762053114175796,1.8117702378451106
distilbert-base-uncased_vq,256.0,4.0140011661034265,0.26134049626336353,0.06958789500693882,0.3592093656398356,0.39489538684259706,0.1416741518328631,0.38943422224777274,0.7937071400880814,2.070594557537269
