model_method,hyperparameter,compression_ratio,word_accuracy,character_accuracy,semantic_similarity,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,bert_score_f1,bits_per_character,quantization_bits,codebook_size
bert-base-uncased_predictive_masking,0.1,1.088389225091045,0.750830462856632,0.24792413064573768,0.9998594796657563,0.9981651086932425,0.9964572270426203,0.9981651086932425,0.9172373968362808,7.634144598024222,,
bert-base-uncased_predictive_masking,0.2,1.2186352572424513,0.746208700341239,0.23927365522820485,0.9967992514371872,0.9901405221982819,0.9792598587303435,0.9901405221982819,0.9154381877183915,6.817557146863123,,
bert-base-uncased_predictive_masking,0.3,1.375158729175715,0.7338269645376738,0.22804820737038786,0.9877652370929718,0.9738901259847108,0.9429610250801607,0.9727109272243026,0.9119542443752289,6.042686398752899,,
bert-base-uncased_predictive_masking,0.4,1.5881751040009626,0.7107988717015445,0.18957960373931218,0.9710400527715684,0.9348869238220532,0.8684929697493715,0.9307212021564046,0.9051883804798126,5.23034172396107,,
bert-base-uncased_predictive_masking,0.5,1.8791392175938817,0.6635105567950275,0.16012771367243286,0.9280810451507568,0.859301015571331,0.7285472303536982,0.8451135330872473,0.8965681958198547,4.424019425541934,,
bert-base-uncased_predictive_masking,0.6,2.2866862781790083,0.5927380291449226,0.14289355877886603,0.84035331428051,0.7445479747599295,0.5424733515139366,0.7152780885313228,0.8826607209444046,3.638220942200295,,
bert-base-uncased_predictive_masking,0.7,2.9159889400591323,0.5052999820907398,0.12178465761439199,0.7553687554597854,0.6275904241527125,0.39015531613554344,0.5844288834155347,0.8685050255060196,2.856583720476037,,
bert-base-uncased_predictive_masking,0.8,4.074059257427333,0.3976335206692109,0.10072497461997006,0.6107425993680954,0.4894807253248176,0.2217504983234069,0.4344502435611372,0.8483124572038651,2.0510055192982417,,
bert-base-uncased_predictive_masking,0.9,6.712053988147028,0.280949284230804,0.08958187720274126,0.4094188799802214,0.3455572939029524,0.09804366947011652,0.2872837327814972,0.8261694860458374,1.2626255212047135,,
bert-base-uncased_lsq,16.0,0.0026130143258636333,0.5668651645523728,0.13637682729885944,0.7288052651286125,0.7615107696657692,0.5906206239007207,0.7603128227038904,0.8833712983131409,3180.7536010043254,16.0,
bert-base-uncased_lsq,8.0,0.005225493425996236,0.5672574722446805,0.13801839176527683,0.7275534325838089,0.7620784841496906,0.5914181769874667,0.7608805371878118,0.883591433763504,1590.536980815702,8.0,
bert-base-uncased_lsq,4.0,0.010448846793872242,0.5493688921888848,0.1346082278273915,0.7207672309875488,0.7436443289699435,0.5607487947604993,0.7415322479043028,0.8778636217117309,795.428670721391,4.0,
bert-base-uncased_vq,128.0,4.587429904118202,0.2233805514661299,0.08390535876250288,0.33066225051879883,0.3386019933139534,0.11704094155970242,0.3352699665506835,0.7925783163309097,1.8117702378451106,,128.0
bert-base-uncased_vq,256.0,4.0140011661034265,0.24883162460499006,0.07620913097428775,0.3743052012100816,0.38022248026853356,0.14524592141962545,0.37395120109192553,0.8030581480264664,2.070594557537269,,256.0
roberta-base_predictive_masking,0.1,1.1777868195410053,0.9204618319304662,0.35231338565408327,0.9021434566378593,0.9383296073615744,0.8613555250577203,0.9383296073615744,0.971365025639534,6.91712412141241,,
roberta-base_predictive_masking,0.2,1.3066779621126665,0.9052141022457053,0.32106738348715025,0.8942289581894874,0.91807314098193,0.8294471576779633,0.9178509187597078,0.9665296816825867,6.241707357285784,,
roberta-base_predictive_masking,0.3,1.4616730726440705,0.8762649369640327,0.30065996599461176,0.8779156348109245,0.8919754443207772,0.7776450063844874,0.8876500710790874,0.9602920299768448,5.588840652089592,,
roberta-base_predictive_masking,0.4,1.66688606312214,0.8211631033996402,0.21564052799814834,0.8478200849890709,0.8367063662158101,0.6921423511271628,0.831036441945721,0.949290629029274,4.91605085344798,,
roberta-base_predictive_masking,0.5,1.9427807382606388,0.7428385077277829,0.1594168528123615,0.8007846692204476,0.7505506256253698,0.5548639891988649,0.7368836744521288,0.9311423653364181,4.231965719159854,,
roberta-base_predictive_masking,0.6,2.302067842911826,0.6523196505865624,0.1210780672243892,0.740549690425396,0.6564414877170777,0.4189584531411031,0.6318548244206464,0.9118061822652817,3.5853386375729097,,
roberta-base_predictive_masking,0.7,2.8497888856923446,0.5467692352524444,0.09630603948938217,0.6510290336608887,0.5458042800251414,0.26415062410968687,0.4982402809345831,0.8886419057846069,2.93005921532205,,
roberta-base_predictive_masking,0.8,3.749379332714603,0.4298379555023521,0.0844054634689075,0.5172830311954022,0.41838111057350474,0.14528602571293928,0.3625261671266764,0.8618684196472168,2.2596821337351063,,
roberta-base_predictive_masking,0.9,5.516656768496742,0.30834196417642273,0.07190927219394656,0.35605556109920145,0.2892147441532714,0.058024084452830714,0.24162028466251967,0.8336441415548325,1.6017757459992321,,
roberta-base_lsq,16.0,0.002850427521393242,0.7469977267494212,0.14439363956834442,0.5829088912904262,0.7414543545573626,0.5501174302007692,0.7411946142976223,0.9246453392505646,2853.4352021790937,16.0,
roberta-base_lsq,8.0,0.005700232952040014,0.7455769777229497,0.15087150284530826,0.5821865928173066,0.7395796474995247,0.5462099833111759,0.7393199072397845,0.9240495419502258,1426.8777814030868,8.0,
roberta-base_lsq,4.0,0.01139797855830254,0.49272522957744336,0.07651274036283669,0.3132226010039449,0.4602863857902529,0.24185996235164026,0.454161073388924,0.8551539295911789,713.5990710150832,4.0,
roberta-base_vq,128.0,5.004268078690372,0.3976831665602721,0.07009419748014385,0.18920384671539067,0.32837269484309567,0.08172718662072379,0.3253256032275204,0.8285465031862259,1.6253095614309978,,128.0
roberta-base_vq,256.0,4.378734568854076,0.42044419391110144,0.0864491375304879,0.2131095151603222,0.35126309248966936,0.09900039588777247,0.3484905465577422,0.8416597676277161,1.857496641635426,,256.0
distilbert-base-uncased_predictive_masking,0.1,1.088389225091045,0.7498750322066353,0.23232059556533638,0.997646437883377,0.9956387734523428,0.988557807018407,0.9956387734523428,0.9157938420772552,7.634144598024222,,
distilbert-base-uncased_predictive_masking,0.2,1.2186352572424513,0.7477432495723957,0.23059317813486552,0.9951624900102616,0.9892424462996753,0.971775147439701,0.9885207386962475,0.9140357995033264,6.817557146863123,,
distilbert-base-uncased_predictive_masking,0.3,1.375158729175715,0.7330714709041338,0.21314058712916165,0.98393197119236,0.9678195838287685,0.9237800287221567,0.9656980187750479,0.9091913378238679,6.042686398752899,,
