model_name,storage_cost_bytes,prompt_len_theta,retrieval_cost_ms,original_sentence,reconstructed_sentence,is_perfect,semantic_similarity,is_semantically_equivalent
gpt2-medium_pruned_20,1419398987,5,342.93413162231445,= Homarus gammarus =,"= Homarus gammar = 
 
  ",False,0.9087492227554321,False
gpt2-medium_pruned_20,1419398987,10,0.0,= Homarus gammarus =,= Homarus gammarus =,True,1.0,True
gpt2-medium_pruned_20,1419398987,20,0.0,= Homarus gammarus =,= Homarus gammarus =,True,1.0,True
gpt2-medium_pruned_20,1419398987,40,0.0,= Homarus gammarus =,= Homarus gammarus =,True,1.0,True
gpt2-medium_pruned_20,1419398987,100,0.0,= Homarus gammarus =,= Homarus gammarus =,True,1.0,True
gpt2-medium_pruned_20,1419398987,5,2007.3230266571045,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus is a species of fungus that grows in the soil of the Mediterranean region . It is a member of the genus Gammarus , and is found in the Mediterranean region . It is a member of the genus Gammarus , and is found in the Mediterranean region . 
 
 
 
 
  
  
  
   
   
    
                                                                      ",False,0.48340433835983276,False
gpt2-medium_pruned_20,1419398987,10,1942.6889419555664,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus , known as the European wild boar , is a subspecies of the wild boar , the boar , and the boar subspecies . It is a subspecies of the boar , the boar , and the boar subspecies . 

The subspecies is found in Europe , North America , and Asia . 
 "" 

 
 

 
 

 

 
 
 "" 
 "" 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
",False,0.48745226860046387,False
gpt2-medium_pruned_20,1419398987,20,1806.755781173706,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster that is native to Europe . It is a member of the genus Gammarus , and is found in the Mediterranean , North Africa , and the Near East . It is a member of the genus Gammarus , and is found in the Mediterranean , North Africa , and the Near East . 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  
  
   
                        ",False,0.8742801547050476,False
gpt2-medium_pruned_20,1419398987,40,1551.8293380737305,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the common lobster , but is more closely related to the Atlantic lobster . The species is a member of the genus Gammarus , and is found in the eastern Atlantic Ocean , Mediterranean Sea , and parts of the Black Sea . 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  
  
  
                  ",False,0.8870425224304199,False
gpt2-medium_pruned_20,1419398987,100,780.1687717437744,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . The flesh is white , and the flesh is soft , fibrous , and fibrous , and is edible . The flesh is rich in protein , and the flesh is rich in minerals . The flesh is edible , but the flesh is not edible . 
 
 
 
 
",False,0.9362298846244812,False
gpt2-medium_pruned_20,1419398987,5,0.0,= = Description = =,= = Description = =,True,1.0000001192092896,True
gpt2-medium_pruned_20,1419398987,10,0.0,= = Description = =,= = Description = =,True,1.0000001192092896,True
gpt2-medium_pruned_20,1419398987,20,0.0,= = Description = =,= = Description = =,True,1.0000001192092896,True
gpt2-medium_pruned_20,1419398987,40,0.0,= = Description = =,= = Description = =,True,1.0000001192092896,True
gpt2-medium_pruned_20,1419398987,100,0.0,= = Description = =,= = Description = =,True,1.0000001192092896,True
gpt2-medium_pruned_20,1419398987,5,1963.6306762695312,"Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a hard exoskeleton which they must shed in order to grow , in a process called ecdysis ( moulting ) . This may occur several times a year for young lobsters , but decreases to once every 1 – 2 years for larger animals .","Homarus gammarus is a species of fungus that grows in the soil of the Mediterranean region . It is a member of the genus Gammarus , and is found in the Mediterranean region . It is a member of the genus Gammarus , and is found in the Mediterranean region . 
 
 
 
 
  
  
  
   
   
    
                                                                   ",False,0.37016695737838745,False
gpt2-medium_pruned_20,1419398987,10,1900.749921798706,"Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a hard exoskeleton which they must shed in order to grow , in a process called ecdysis ( moulting ) . This may occur several times a year for young lobsters , but decreases to once every 1 – 2 years for larger animals .","Homarus gammarus is a large crustacean , with a body length of about 1 @.@ 5 m ( 4 @.@ 2 ft ) . It has a smooth , black , or brownish @-@ brown color , and a smooth , white , or grayish @-@ brown upper surface . The upper surface is covered with a layer of fine , white , or grayish @-@ brown scales . The upper surface is covered with a layer of fine , white , or grayish @-@ brown scales . The upper surface is covered with a layer of fine , white , or grayish @-@ brown scales . The upper surface is covered with a layer of fine , white , or grayish @-@ brown scales . The upper surface is",False,0.703385055065155,False
