model_name,storage_cost_lambda,prompt_len_theta,retrieval_cost_ms,original_sentence,reconstructed_sentence,is_perfect,semantic_similarity
GPT2-medium (pruned 0d),1419398689,5,2541.4090156555176,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus ( also known as the "" black @-@ tailed jackrabbit "" ) is a species of rabbit found in the eastern United States . It is a medium @-@ sized , medium @-@ to large @-@ sized rabbit , with a body length of about 1 @.@ 5 m ( 4 @.@ 5 ft ) , a weight of about 1 @.@ 5 kg ( 2 @.@ 5 lb ) , and a weight of about 1 @.@ 5 kg ( 2 @.@ 5 lb ) . It is a medium @-@ sized , medium @-@ to large @-@ sized rabbit , with a body length of about 1 @.@ 5 m ( 4 @.@ 5 ft ) , a weight of",False,0.3884827792644501
GPT2-medium (pruned 0d),1419398689,10,2105.9844493865967,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus , known as the European wild boar , is a species of boar in the family Boaridae . It is a subfamily of the family Boaridae , and is found in Europe , North America , and Asia . It is a subspecies of the subfamily Boarinae , and is found in Europe , North America , and Asia . 

The boar is a large , robust , and well @-@ adapted animal , with a long , slender , and robust neck , a long , slender , and robust tail , and a long , slender , and robust back . 

The boar is a member of the family Boaridae , and is found in Europe , North America , and Asia . 
 

 ",False,0.548359751701355
GPT2-medium (pruned 0d),1419398689,20,1977.1530628204346,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster that is native to the Mediterranean Sea . It is a member of the genus Gammarus , and is found in the Mediterranean Sea , the North Atlantic , and the Indian Ocean . It is a member of the genus Gammarus , and is found in the Mediterranean Sea , the North Atlantic , and the Indian Ocean . 
 
  
  
  
  
  
  
  
  
  
  
  
  
  
  
   
   
   
    
    
     
",False,0.8827275037765503
GPT2-medium (pruned 0d),1419398689,40,1649.4860649108887,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the common lobster , but is more closely related to the lobster of the genus Gammarus . It is a member of the genus Gammarus , and is the only lobster species in the family Gammaridae . 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 ",False,0.8800991773605347
GPT2-medium (pruned 0d),1419398689,100,846.7512130737305,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . 
 
 
  
  
  
  
  
  
  
  
  
  
  
   
   
    
     
 ",False,0.9507235288619995
GPT2-medium (pruned 0d),1419398689,5,2152.4133682250977,"Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a hard exoskeleton which they must shed in order to grow , in a process called ecdysis ( moulting ) . This may occur several times a year for young lobsters , but decreases to once every 1 – 2 years for larger animals .","Homarus gammarus ( also known as the "" black @-@ tailed jackrabbit "" ) is a species of rabbit found in the eastern United States . It is a medium @-@ sized , medium @-@ to large @-@ sized rabbit , with a body length of about 1 @.@ 5 m ( 4 @.@ 5 ft ) , a weight of about 1 @.@ 5 kg ( 2 @.@ 5 lb ) , and a weight of about 1 @.@ 5 kg ( 2 @.@ 5 lb ) . It is a medium @-@ sized , medium @-@ to large @-@ sized rabbit , with a body length of about 1 @.@ 5 m ( 4 @.@ 5 ft ) ,",False,0.4571395516395569
GPT2-medium (pruned 0d),1419398689,10,1990.3819561004639,"Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a hard exoskeleton which they must shed in order to grow , in a process called ecdysis ( moulting ) . This may occur several times a year for young lobsters , but decreases to once every 1 – 2 years for larger animals .","Homarus gammarus is a large crustacean , with a body length of about 1 @.@ 5 m ( 4 @.@ 5 ft ) and a weight of about 1 @.@ 5 kg ( 2 @.@ 0 lb ) . It has a smooth , white , fleshy , leathery , and leathery texture . The flesh is white , and the skin is pale yellowish @-@ brown . The legs are long , and the feet are short . The head is a white , bulbous , and leathery , with a long , thin , and leathery snout . The eyes are large , and the mouth is large , with a long , thin , and leathery tongue . The mouth is covered with a thick , leathery , and",False,0.7143871784210205
GPT2-medium (pruned 0d),1419398689,20,1838.632345199585,"Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a hard exoskeleton which they must shed in order to grow , in a process called ecdysis ( moulting ) . This may occur several times a year for young lobsters , but decreases to once every 1 – 2 years for larger animals .","Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 20 in ) , a weight of up to 1 @,@ 000 g ( 2 @,@ 000 lb ) , and a maximum length of up to 30 centimetres ( 10 in ) . It has a smooth , white , fleshy , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery ,",False,0.7481576204299927
GPT2-medium (pruned 0d),1419398689,40,1559.704065322876,"Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a hard exoskeleton which they must shed in order to grow , in a process called ecdysis ( moulting ) . This may occur several times a year for young lobsters , but decreases to once every 1 – 2 years for larger animals .","Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) . It has a smooth , white , fleshy , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leathery , and leathery , leather",False,0.7545027732849121
GPT2-medium (pruned 0d),1419398689,100,771.704912185669,"Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a hard exoskeleton which they must shed in order to grow , in a process called ecdysis ( moulting ) . This may occur several times a year for young lobsters , but decreases to once every 1 – 2 years for larger animals .","Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a distinctive odor , which is similar to that of the mussel . 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 ",False,0.9090662598609924
