model_name,storage_cost_lambda,prompt_len_theta,retrieval_cost_ms,original_sentence,reconstructed_sentence,is_perfect,semantic_similarity
GPT2 (pruned 0d),497813105,5,1478.6419868469238,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

",False,0.4155382513999939
GPT2 (pruned 0d),497813105,10,1056.4985275268555,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus , known as the European gammarus , is a species of fungus that is found in the eastern Mediterranean . It is a common species in the Mediterranean , and is found in the Mediterranean Sea . It is a common species in the Mediterranean Sea , and is found in the Mediterranean Sea . 

A common species of gammarus , it is a common species in the Mediterranean Sea . 

A common species of gammarus , it is a common species in the Mediterranean Sea . 

A common species of gammarus , it is a common species in the Mediterranean Sea . 

A common species of gammarus , it is a common species in the Mediterranean Sea . 

A common species of gammarus , it is a",False,0.5612045526504517
GPT2 (pruned 0d),497813105,20,985.0468635559082,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster that is found in the Mediterranean Sea . It is a common lobster in the Mediterranean Sea , and is found in the Mediterranean Sea , the Mediterranean Sea , and the Mediterranean Sea . It is a common lobster in the Mediterranean Sea , and is found in the Mediterranean Sea , the Mediterranean Sea , and the Mediterranean Sea . 

A common lobster is a lobster that has been caught in the Mediterranean Sea and is found in the Mediterranean Sea . 

A common lobster is a lobster that has been caught in the Mediterranean Sea and is found in the Mediterranean Sea . 

A common lobster is a lobster that has been caught in the Mediterranean Sea and is found in the Mediterranean Sea . ",False,0.8166764378547668
GPT2 (pruned 0d),497813105,40,842.6620960235596,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the common lobster , but is not related to the common lobster . 

A common lobster is a lobster that has been caught in the Atlantic Ocean and is a common lobster in the Caribbean Sea . 

A common lobster is a lobster that has been caught in the Caribbean Sea and is a common lobster in the Caribbean Sea . 

A common lobster is a lobster that has been caught in the Caribbean Sea and is a common lobster in the Caribbean Sea . 

A common lobster is a lobster that has been caught in the Caribbean Sea and is a common lobster in the",False,0.8192322254180908
GPT2 (pruned 0d),497813105,100,429.1245937347412,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . 

H. americanus is a common lobster in the Mediterranean Sea , and is found in the Mediterranean Sea . 

H. americanus is a common lobster in the Black Sea , and is found in the Mediterranean Sea . 

H. americanus is a common lobster",False,0.8988420367240906
GPT2 (pruned 0d),497813105,5,1064.3811225891113,"Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a hard exoskeleton which they must shed in order to grow , in a process called ecdysis ( moulting ) . This may occur several times a year for young lobsters , but decreases to once every 1 – 2 years for larger animals .","Homarus gammarus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus 

A species of the genus",False,0.37300729751586914
GPT2 (pruned 0d),497813105,10,1027.6596546173096,"Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a hard exoskeleton which they must shed in order to grow , in a process called ecdysis ( moulting ) . This may occur several times a year for young lobsters , but decreases to once every 1 – 2 years for larger animals .","Homarus gammarus is a large crustacean , with a diameter of 1 @.@ 5 to 2 @.@ 5 m ( 3 @.@ 5 to 6 @.@ 5 ft ) . It is a subfamily of the genus Erythrina , and is found in the southern part of the United States . It is a subfamily of Erythrina , and is found in the southern part of the United States . 

A subfamily of Erythrina , it is found in the southern part of the United States . 

A subfamily of Erythrina , it is found in the southern part of the United States . 

A subfamily of Erythrina , it is found in the southern",False,0.6034818291664124
GPT2 (pruned 0d),497813105,20,964.6377563476562,"Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a hard exoskeleton which they must shed in order to grow , in a process called ecdysis ( moulting ) . This may occur several times a year for young lobsters , but decreases to once every 1 – 2 years for larger animals .","Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 9 @.@ 5 in ) . It is a subfamily of the genus erythroidus , and is found in the genus erythroidus . 

A subfamily of the genus erythroidus , it is found in the genus erythroidus , and is found in the genus erythroidus . 

A subfamily of the genus erythroidus , it is found in the genus erythroidus , and is found in the genus erythroidus . 

A subfamily of the genus erythroidus , it is found in the genus ",False,0.6741386651992798
GPT2 (pruned 0d),497813105,40,823.4879970550537,"Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a hard exoskeleton which they must shed in order to grow , in a process called ecdysis ( moulting ) . This may occur several times a year for young lobsters , but decreases to once every 1 – 2 years for larger animals .","Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) . It is a member of the family Chagasaurus . 

A common name for the species is "" gammarus "" , which is a combination of the Latin word gammarus and the Greek word gamma . 

A common name for the species is "" gamma "" , which is a combination of the Latin word gamma and the Greek word gamma . 

A common name for the species is "" gamma "" , which is a combination of the Latin word gamma and the Greek word gamma . 

A common name",False,0.6394919157028198
GPT2 (pruned 0d),497813105,100,401.78942680358887,"Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a hard exoskeleton which they must shed in order to grow , in a process called ecdysis ( moulting ) . This may occur several times a year for young lobsters , but decreases to once every 1 – 2 years for larger animals .","Homarus gammarus is a large crustacean , with a body length up to 60 centimetres ( 24 in ) and weighing up to 5 – 6 kilograms ( 11 – 13 lb ) , although the lobsters caught in lobster pots are usually 23 – 38 cm ( 9 – 15 in ) long and weigh 0 @.@ 7 – 2 @.@ 2 kg ( 1 @.@ 5 – 4 @.@ 9 lb ) . Like other crustaceans , lobsters have a thick , gelatinous shell , which is covered with a thick layer of tissue . The shell is thick enough to allow the lobster to swim , and the shell is thick enough to allow the lobster to move freely . The shell is thick enough to allow the lobster to swim , and the",False,0.8932660818099976
