model_name,eval_domain,storage_cost_lambda,storage_cost_bytes,total_params,nonzero_params,effective_param_bytes,sparsity,prompt_len_theta,retrieval_cost_ms,original_sentence,reconstructed_sentence,is_perfect,semantic_similarity,factual_recall,lexical_recall,success_composite,semantic_threshold_used,is_semantically_equivalent
Cerebras-111M,id,449034410,449034410,111050496,111050496,444201984,0.0,5,63.25697898864746,= Homarus gammarus =,"= Homarus gammarus ( also known as the """,False,0.923831582069397,1.0,1.0,0.9542989492416382,0.95,False
Cerebras-111M,id,449034410,449034410,111050496,111050496,444201984,0.0,10,0.0,= Homarus gammarus =,= Homarus gammarus =,True,1.0,1.0,1.0,0.9999999999999999,0.95,True
Cerebras-111M,id,449034410,449034410,111050496,111050496,444201984,0.0,20,0.0,= Homarus gammarus =,= Homarus gammarus =,True,1.0,1.0,1.0,0.9999999999999999,0.95,True
Cerebras-111M,id,449034410,449034410,111050496,111050496,444201984,0.0,40,0.0,= Homarus gammarus =,= Homarus gammarus =,True,1.0,1.0,1.0,0.9999999999999999,0.95,True
Cerebras-111M,id,449034410,449034410,111050496,111050496,444201984,0.0,60,0.0,= Homarus gammarus =,= Homarus gammarus =,True,1.0,1.0,1.0,0.9999999999999999,0.95,True
Cerebras-111M,id,449034410,449034410,111050496,111050496,444201984,0.0,100,0.0,= Homarus gammarus =,= Homarus gammarus =,True,1.0,1.0,1.0,0.9999999999999999,0.95,True
Cerebras-111M,id,449034410,449034410,111050496,111050496,444201984,0.0,5,841.4027690887451,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus 
is a species of fungus in the family Mycenaceae . It is found in the genus Mycenaceae , and is found in the genus Mycenaceae . It is found in the genus Mycenaceae , and is found in the genus Mycenaceae . 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
",False,0.46333497762680054,0.0,0.05172413793103448,0.28317340036918376,0.95,False
Cerebras-111M,id,449034410,449034410,111050496,111050496,444201984,0.0,10,825.1352310180664,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus , known as the European mushroom , is a species of fungus in the family Lactarius , which is a member of the family Lactarius . It is a member of the family Lactarius , and is a member of the family Lactarius . It is a member of the family Lactarius , and is a member of the family Lactarius . It is a member of the family Lactarius , and is a member of the family Lactarius . It is a member of the family Lactarius , and is a member of the family Lactarius . It is a member of the family Lactarius , and is a member of the family Lactarius . It is a member of the family Lactarius , and is a member",False,0.396790474653244,0.08333333333333333,0.08620689655172414,0.2716949744471188,0.95,False
Cerebras-111M,id,449034410,449034410,111050496,111050496,444201984,0.0,20,772.5067138671875,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster , which is a common lobster in the family Ceratopsidae . It is a common lobster in the family Ceratopsidae , and is a common lobster in the family Ceratopsidae . It is a common lobster in the family Ceratopsidae , and is a common lobster in the family Ceratopsidae . 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
",False,0.8029645681381226,0.08333333333333333,0.13793103448275862,0.5205718443311494,0.95,False
Cerebras-111M,id,449034410,449034410,111050496,111050496,444201984,0.0,40,658.6654186248779,"Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the American lobster , H. americanus . It may grow to a length of 60 cm ( 24 in ) and a mass of 6 kilograms ( 13 lb ) , and bears a conspicuous pair of claws . In life , the lobsters are blue , only becoming "" lobster red "" on cooking . Mating occurs in the summer , producing eggs which are carried by the females for up to a year before hatching into planktonic larvae . Homarus gammarus is a highly esteemed food , and is widely caught using lobster pots , mostly around the British Isles .","Homarus gammarus , known as the European lobster or common lobster , is a species of clawed lobster from the eastern Atlantic Ocean , Mediterranean Sea and parts of the Black Sea . It is closely related to the common lobster , but is not known for its small size . It is found in the Atlantic Ocean , and is found in the Atlantic Ocean . It is found in the Atlantic Ocean , and is found in the Atlantic Ocean . It is found in the Atlantic Ocean , and is found in the Atlantic Ocean . 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 ",False,0.8834244012832642,0.3333333333333333,0.29310344827586204,0.6593649855975446,0.95,False
